year,name,value,lastValue
2000.01,Where My Girls At?,36,36
2000.01,Unpretty,28,28
2000.01,Someday,27,27
2000.01,Black Balloon,26,26
2000.01,Back That Thang Up,26,26
2000.01,The Rockafeller Skank,24,24
2000.01,Smooth,23,23
2000.01,Amazed,22,22
2000.01,Steal My Sunshine,21,21
2000.01,Sexual (Li Da Di),21,21
2000.02,Where My Girls At?,41,41
2000.02,Someday,32,32
2000.02,Black Balloon,31,31
2000.02,Unpretty,28,28
2000.02,Smooth,28,28
2000.02,Amazed,27,27
2000.02,Sexual (Li Da Di),26,26
2000.02,Back That Thang Up,26,26
2000.02,My Love Is Your Love,23,23
2000.02,Satisfy You,20,20
2000.03,Where My Girls At?,41,41
2000.03,Someday,32,32
2000.03,Smooth,32,32
2000.03,Black Balloon,31,31
2000.03,Amazed,31,31
2000.03,Unpretty,28,28
2000.03,My Love Is Your Love,27,27
2000.03,Sexual (Li Da Di),26,26
2000.03,I Need To Know,26,26
2000.03,U Know What's Up,24,24
2000.04,Where My Girls At?,41,41
2000.04,Smooth,36,36
2000.04,Amazed,35,35
2000.04,Someday,32,32
2000.04,Black Balloon,31,31
2000.04,I Need To Know,30,30
2000.04,Unpretty,28,28
2000.04,Meet Virginia,26,26
2000.04,I Knew I Loved You,24,24
2000.04,Got To Get It,20,20
2000.05,Where My Girls At?,41,41
2000.05,Smooth,41,41
2000.05,Amazed,40,40
2000.05,I Need To Know,35,35
2000.05,Someday,32,32
2000.05,Black Balloon,31,31
2000.05,I Knew I Loved You,29,29
2000.05,Get It On Tonite,29,29
2000.05,Bring It All To Me,29,29
2000.05,Back At One,17,17
2000.06,Smooth,45,45
2000.06,Amazed,44,44
2000.06,Where My Girls At?,41,41
2000.06,I Need To Know,39,39
2000.06,I Knew I Loved You,33,33
2000.06,Someday,32,32
2000.06,Higher,31,31
2000.06,Breathe,31,31
2000.06,Black Balloon,31,31
2000.06,Get It On Tonite,29,29
2000.07,Smooth,49,49
2000.07,Amazed,48,48
2000.07,Where My Girls At?,41,41
2000.07,I Need To Know,39,39
2000.07,Higher,35,35
2000.07,Breathe,35,35
2000.07,I Knew I Loved You,33,33
2000.07,Someday,32,32
2000.07,Say My Name,28,28
2000.07,I Wanna Know,27,27
2000.08,Smooth,54,54
2000.08,Amazed,53,53
2000.08,Where My Girls At?,41,41
2000.08,Higher,40,40
2000.08,Breathe,40,40
2000.08,I Need To Know,39,39
2000.08,I Knew I Loved You,33,33
2000.08,Someday,32,32
2000.08,I Wanna Know,32,32
2000.08,Everything You Want,29,29
2000.09,Smooth,58,58
2000.09,Amazed,53,53
2000.09,Higher,44,44
2000.09,Breathe,44,44
2000.09,Where My Girls At?,41,41
2000.09,I Need To Know,39,39
2000.09,I Wanna Know,36,36
2000.09,I Knew I Loved You,33,33
2000.09,Everything You Want,33,33
2000.09,Someday,32,32
2000.1,Smooth,58,58
2000.1,Amazed,53,53
2000.1,Higher,49,49
2000.1,Breathe,49,49
2000.1,Where My Girls At?,41,41
2000.1,I Wanna Know,41,41
2000.1,I Need To Know,39,39
2000.1,Everything You Want,38,38
2000.1,I Knew I Loved You,33,33
2000.1,There You Go,32,32
2000.11,Smooth,58,58
2000.11,Higher,53,53
2000.11,Breathe,53,53
2000.11,Amazed,53,53
2000.11,Where My Girls At?,41,41
2000.11,I Wanna Know,41,41
2000.11,I Need To Know,39,39
2000.11,Everything You Want,38,38
2000.11,He Wasn't Man Enough,34,34
2000.11,Kryptonite,31,31
2000.12,Smooth,58,58
2000.12,Higher,57,57
2000.12,Breathe,53,53
2000.12,Amazed,53,53
2000.12,Where My Girls At?,41,41
2000.12,I Wanna Know,41,41
2000.12,I Need To Know,39,39
2000.12,Everything You Want,38,38
2000.12,Kryptonite,35,35
2000.12,Bent,32,32
2001.01,Smooth,58,58
2001.01,Higher,57,57
2001.01,Breathe,53,53
2001.01,Amazed,53,53
2001.01,Where My Girls At?,41,41
2001.01,I Wanna Know,41,41
2001.01,Kryptonite,40,40
2001.01,I Need To Know,39,39
2001.01,Bent,37,37
2001.01,The Way You Love Me,36,36
2001.02,Smooth,58,58
2001.02,Higher,57,57
2001.02,Breathe,53,53
2001.02,Amazed,53,53
2001.02,Kryptonite,44,44
2001.02,Where My Girls At?,41,41
2001.02,I Wanna Know,41,41
2001.02,The Way You Love Me,40,40
2001.02,With Arms Wide Open,39,39
2001.02,I Need To Know,39,39
2001.03,Smooth,58,58
2001.03,Higher,57,57
2001.03,Breathe,53,53
2001.03,Amazed,53,53
2001.03,Kryptonite,48,48
2001.03,The Way You Love Me,44,44
2001.03,With Arms Wide Open,43,43
2001.03,Where My Girls At?,41,41
2001.03,I Wanna Know,41,41
2001.03,I Need To Know,39,39
2001.04,Smooth,58,58
2001.04,Higher,57,57
2001.04,Kryptonite,53,53
2001.04,Breathe,53,53
2001.04,Amazed,53,53
2001.04,The Way You Love Me,49,49
2001.04,With Arms Wide Open,43,43
2001.04,Where My Girls At?,41,41
2001.04,I Wanna Know,41,41
2001.04,I Need To Know,39,39
2001.05,Smooth,58,58
2001.05,Higher,57,57
2001.05,The Way You Love Me,53,53
2001.05,Kryptonite,53,53
2001.05,Breathe,53,53
2001.05,Amazed,53,53
2001.05,With Arms Wide Open,43,43
2001.05,Where My Girls At?,41,41
2001.05,I Wanna Know,41,41
2001.05,I Need To Know,39,39
2001.06,Smooth,58,58
2001.06,Higher,57,57
2001.06,The Way You Love Me,53,53
2001.06,Kryptonite,53,53
2001.06,Breathe,53,53
2001.06,Amazed,53,53
2001.06,With Arms Wide Open,43,43
2001.06,Where My Girls At?,41,41
2001.06,I Wanna Know,41,41
2001.06,I Hope You Dance,39,39
2001.07,Smooth,58,58
2001.07,Higher,57,57
2001.07,The Way You Love Me,53,53
2001.07,Kryptonite,53,53
2001.07,Breathe,53,53
2001.07,Amazed,53,53
2001.07,I Hope You Dance,44,44
2001.07,With Arms Wide Open,43,43
2001.07,Where My Girls At?,41,41
2001.07,I Wanna Know,41,41
2001.08,Smooth,58,58
2001.08,Higher,57,57
2001.08,The Way You Love Me,53,53
2001.08,Kryptonite,53,53
2001.08,Breathe,53,53
2001.08,Amazed,53,53
2001.08,I Hope You Dance,48,48
2001.08,With Arms Wide Open,43,43
2001.08,If You're Gone,42,42
2001.08,Where My Girls At?,41,41
2001.09,Smooth,58,58
2001.09,Higher,57,57
2001.09,The Way You Love Me,53,53
2001.09,Kryptonite,53,53
2001.09,Breathe,53,53
2001.09,Amazed,53,53
2001.09,I Hope You Dance,48,48
2001.09,With Arms Wide Open,43,43
2001.09,If You're Gone,42,42
2001.09,Where My Girls At?,41,41
2001.1,Smooth,58,58
2001.1,Higher,57,57
2001.1,The Way You Love Me,53,53
2001.1,Kryptonite,53,53
2001.1,Breathe,53,53
2001.1,Amazed,53,53
2001.1,I Hope You Dance,48,48
2001.1,With Arms Wide Open,43,43
2001.1,If You're Gone,42,42
2001.1,Where My Girls At?,41,41
2001.11,Smooth,58,58
2001.11,Higher,57,57
2001.11,The Way You Love Me,53,53
2001.11,Kryptonite,53,53
2001.11,Breathe,53,53
2001.11,Amazed,53,53
2001.11,I Hope You Dance,48,48
2001.11,With Arms Wide Open,43,43
2001.11,If You're Gone,42,42
2001.11,Hanging By A Moment,39,39
2001.12,Smooth,58,58
2001.12,Higher,57,57
2001.12,The Way You Love Me,53,53
2001.12,Kryptonite,53,53
2001.12,Breathe,53,53
2001.12,Amazed,53,53
2001.12,I Hope You Dance,48,48
2001.12,With Arms Wide Open,43,43
2001.12,Hanging By A Moment,43,43
2001.12,If You're Gone,42,42
2002.01,Smooth,58,58
2002.01,Higher,57,57
2002.01,The Way You Love Me,53,53
2002.01,Kryptonite,53,53
2002.01,Breathe,53,53
2002.01,Amazed,53,53
2002.01,I Hope You Dance,48,48
2002.01,Hanging By A Moment,48,48
2002.01,With Arms Wide Open,43,43
2002.01,Drops Of Jupiter (Tell Me),43,43
2002.02,Smooth,58,58
2002.02,Higher,57,57
2002.02,The Way You Love Me,53,53
2002.02,Kryptonite,53,53
2002.02,Breathe,53,53
2002.02,Amazed,53,53
2002.02,Hanging By A Moment,52,52
2002.02,I Hope You Dance,48,48
2002.02,Drops Of Jupiter (Tell Me),47,47
2002.02,It's Been Awhile,43,43
2002.03,Smooth,58,58
2002.03,Higher,57,57
2002.03,The Way You Love Me,53,53
2002.03,Kryptonite,53,53
2002.03,Breathe,53,53
2002.03,Amazed,53,53
2002.03,Hanging By A Moment,52,52
2002.03,Drops Of Jupiter (Tell Me),51,51
2002.03,I Hope You Dance,48,48
2002.03,It's Been Awhile,43,43
2002.04,Smooth,58,58
2002.04,Higher,57,57
2002.04,The Way You Love Me,53,53
2002.04,Kryptonite,53,53
2002.04,Breathe,53,53
2002.04,Amazed,53,53
2002.04,Hanging By A Moment,52,52
2002.04,Drops Of Jupiter (Tell Me),51,51
2002.04,I Hope You Dance,48,48
2002.04,It's Been Awhile,43,43
2002.05,Smooth,58,58
2002.05,Higher,57,57
2002.05,The Way You Love Me,53,53
2002.05,Kryptonite,53,53
2002.05,Breathe,53,53
2002.05,Amazed,53,53
2002.05,Hanging By A Moment,52,52
2002.05,Drops Of Jupiter (Tell Me),51,51
2002.05,I Hope You Dance,48,48
2002.05,It's Been Awhile,43,43
2002.06,Smooth,58,58
2002.06,Higher,57,57
2002.06,The Way You Love Me,53,53
2002.06,Kryptonite,53,53
2002.06,Breathe,53,53
2002.06,Amazed,53,53
2002.06,Hanging By A Moment,52,52
2002.06,Drops Of Jupiter (Tell Me),51,51
2002.06,I Hope You Dance,48,48
2002.06,It's Been Awhile,43,43
2002.07,Smooth,58,58
2002.07,Higher,57,57
2002.07,The Way You Love Me,53,53
2002.07,Kryptonite,53,53
2002.07,Breathe,53,53
2002.07,Amazed,53,53
2002.07,Hanging By A Moment,52,52
2002.07,Drops Of Jupiter (Tell Me),51,51
2002.07,I Hope You Dance,48,48
2002.07,How You Remind Me,44,44
2002.08,Smooth,58,58
2002.08,Higher,57,57
2002.08,The Way You Love Me,53,53
2002.08,Kryptonite,53,53
2002.08,Breathe,53,53
2002.08,Amazed,53,53
2002.08,Hanging By A Moment,52,52
2002.08,Drops Of Jupiter (Tell Me),51,51
2002.08,I Hope You Dance,48,48
2002.08,How You Remind Me,48,48
2002.09,Smooth,58,58
2002.09,Higher,57,57
2002.09,The Way You Love Me,53,53
2002.09,Kryptonite,53,53
2002.09,Breathe,53,53
2002.09,Amazed,53,53
2002.09,Hanging By A Moment,52,52
2002.09,Drops Of Jupiter (Tell Me),51,51
2002.09,I Hope You Dance,48,48
2002.09,How You Remind Me,48,48
2002.1,Smooth,58,58
2002.1,Higher,57,57
2002.1,The Way You Love Me,53,53
2002.1,Kryptonite,53,53
2002.1,Breathe,53,53
2002.1,Amazed,53,53
2002.1,Hanging By A Moment,52,52
2002.1,Drops Of Jupiter (Tell Me),51,51
2002.1,I Hope You Dance,48,48
2002.1,How You Remind Me,48,48
2002.11,Smooth,58,58
2002.11,Higher,57,57
2002.11,The Way You Love Me,53,53
2002.11,Kryptonite,53,53
2002.11,Breathe,53,53
2002.11,Amazed,53,53
2002.11,Hanging By A Moment,52,52
2002.11,Drops Of Jupiter (Tell Me),51,51
2002.11,I Hope You Dance,48,48
2002.11,How You Remind Me,48,48
2002.12,Smooth,58,58
2002.12,Higher,57,57
2002.12,The Way You Love Me,53,53
2002.12,Kryptonite,53,53
2002.12,Amazed,53,53
2002.12,Hanging By A Moment,52,52
2002.12,Drops Of Jupiter (Tell Me),51,51
2002.12,I Hope You Dance,48,48
2002.12,How You Remind Me,48,48
2002.12,A Thousand Miles,41,41
2003.01,Smooth,58,58
2003.01,Higher,57,57
2003.01,The Way You Love Me,53,53
2003.01,Kryptonite,53,53
2003.01,Amazed,53,53
2003.01,Hanging By A Moment,52,52
2003.01,Drops Of Jupiter (Tell Me),51,51
2003.01,I Hope You Dance,48,48
2003.01,How You Remind Me,48,48
2003.01,A Thousand Miles,41,41
2003.02,Smooth,58,58
2003.02,Higher,57,57
2003.02,The Way You Love Me,53,53
2003.02,Kryptonite,53,53
2003.02,Amazed,53,53
2003.02,Hanging By A Moment,52,52
2003.02,Drops Of Jupiter (Tell Me),51,51
2003.02,I Hope You Dance,48,48
2003.02,How You Remind Me,48,48
2003.02,A Thousand Miles,41,41
2003.03,Smooth,58,58
2003.03,Higher,57,57
2003.03,The Way You Love Me,53,53
2003.03,Kryptonite,53,53
2003.03,Amazed,53,53
2003.03,Hanging By A Moment,52,52
2003.03,Drops Of Jupiter (Tell Me),51,51
2003.03,I Hope You Dance,48,48
2003.03,How You Remind Me,48,48
2003.03,A Thousand Miles,41,41
2003.04,Smooth,58,58
2003.04,Higher,57,57
2003.04,The Way You Love Me,53,53
2003.04,Kryptonite,53,53
2003.04,Amazed,53,53
2003.04,Hanging By A Moment,52,52
2003.04,Drops Of Jupiter (Tell Me),51,51
2003.04,I Hope You Dance,48,48
2003.04,How You Remind Me,48,48
2003.04,A Thousand Miles,41,41
2003.05,Smooth,58,58
2003.05,Higher,57,57
2003.05,The Way You Love Me,53,53
2003.05,Kryptonite,53,53
2003.05,Amazed,53,53
2003.05,Hanging By A Moment,52,52
2003.05,Drops Of Jupiter (Tell Me),51,51
2003.05,I Hope You Dance,48,48
2003.05,How You Remind Me,48,48
2003.05,A Thousand Miles,41,41
2003.06,Smooth,58,58
2003.06,Higher,57,57
2003.06,The Way You Love Me,53,53
2003.06,Kryptonite,53,53
2003.06,Amazed,53,53
2003.06,Hanging By A Moment,52,52
2003.06,Drops Of Jupiter (Tell Me),51,51
2003.06,I Hope You Dance,48,48
2003.06,How You Remind Me,48,48
2003.06,A Thousand Miles,41,41
2003.07,Smooth,58,58
2003.07,Higher,57,57
2003.07,The Way You Love Me,53,53
2003.07,Kryptonite,53,53
2003.07,Amazed,53,53
2003.07,Hanging By A Moment,52,52
2003.07,Drops Of Jupiter (Tell Me),51,51
2003.07,I Hope You Dance,48,48
2003.07,How You Remind Me,48,48
2003.07,A Thousand Miles,41,41
2003.08,Smooth,58,58
2003.08,Higher,57,57
2003.08,The Way You Love Me,53,53
2003.08,Kryptonite,53,53
2003.08,Amazed,53,53
2003.08,Hanging By A Moment,52,52
2003.08,Drops Of Jupiter (Tell Me),51,51
2003.08,I Hope You Dance,48,48
2003.08,How You Remind Me,48,48
2003.08,Ignition,39,39
2003.09,Smooth,58,58
2003.09,Higher,57,57
2003.09,The Way You Love Me,53,53
2003.09,Kryptonite,53,53
2003.09,Amazed,53,53
2003.09,Hanging By A Moment,52,52
2003.09,Drops Of Jupiter (Tell Me),51,51
2003.09,I Hope You Dance,48,48
2003.09,How You Remind Me,48,48
2003.09,When I'm Gone,42,42
2003.1,Smooth,58,58
2003.1,Higher,57,57
2003.1,The Way You Love Me,53,53
2003.1,Kryptonite,53,53
2003.1,Amazed,53,53
2003.1,Hanging By A Moment,52,52
2003.1,Drops Of Jupiter (Tell Me),51,51
2003.1,I Hope You Dance,48,48
2003.1,How You Remind Me,48,48
2003.1,When I'm Gone,42,42
2003.11,Smooth,58,58
2003.11,Higher,57,57
2003.11,The Way You Love Me,53,53
2003.11,Kryptonite,53,53
2003.11,Amazed,53,53
2003.11,Hanging By A Moment,52,52
2003.11,Drops Of Jupiter (Tell Me),51,51
2003.11,I Hope You Dance,48,48
2003.11,How You Remind Me,48,48
2003.11,When I'm Gone,42,42
2003.12,Smooth,58,58
2003.12,Higher,57,57
2003.12,The Way You Love Me,53,53
2003.12,Kryptonite,53,53
2003.12,Amazed,53,53
2003.12,Hanging By A Moment,52,52
2003.12,Drops Of Jupiter (Tell Me),51,51
2003.12,I Hope You Dance,48,48
2003.12,How You Remind Me,48,48
2003.12,When I'm Gone,42,42
2004.01,Smooth,58,58
2004.01,Higher,57,57
2004.01,The Way You Love Me,53,53
2004.01,Kryptonite,53,53
2004.01,Amazed,53,53
2004.01,Hanging By A Moment,52,52
2004.01,Drops Of Jupiter (Tell Me),51,51
2004.01,I Hope You Dance,48,48
2004.01,How You Remind Me,48,48
2004.01,Unwell,42,42
2004.02,Smooth,58,58
2004.02,Higher,57,57
2004.02,The Way You Love Me,53,53
2004.02,Kryptonite,53,53
2004.02,Amazed,53,53
2004.02,Hanging By A Moment,52,52
2004.02,Drops Of Jupiter (Tell Me),51,51
2004.02,I Hope You Dance,48,48
2004.02,How You Remind Me,48,48
2004.02,Unwell,47,47
2004.03,Smooth,58,58
2004.03,Higher,57,57
2004.03,The Way You Love Me,53,53
2004.03,Kryptonite,53,53
2004.03,Amazed,53,53
2004.03,Hanging By A Moment,52,52
2004.03,Unwell,51,51
2004.03,Drops Of Jupiter (Tell Me),51,51
2004.03,I Hope You Dance,48,48
2004.03,How You Remind Me,48,48
2004.04,Smooth,58,58
2004.04,Higher,57,57
2004.04,The Way You Love Me,53,53
2004.04,Kryptonite,53,53
2004.04,Amazed,53,53
2004.04,Hanging By A Moment,52,52
2004.04,Unwell,51,51
2004.04,Drops Of Jupiter (Tell Me),51,51
2004.04,I Hope You Dance,48,48
2004.04,How You Remind Me,48,48
2004.05,Smooth,58,58
2004.05,Higher,57,57
2004.05,The Way You Love Me,53,53
2004.05,Kryptonite,53,53
2004.05,Amazed,53,53
2004.05,Hanging By A Moment,52,52
2004.05,Unwell,51,51
2004.05,Drops Of Jupiter (Tell Me),51,51
2004.05,I Hope You Dance,48,48
2004.05,How You Remind Me,48,48
2004.06,Smooth,58,58
2004.06,Higher,57,57
2004.06,The Way You Love Me,53,53
2004.06,Kryptonite,53,53
2004.06,Amazed,53,53
2004.06,Hanging By A Moment,52,52
2004.06,Unwell,51,51
2004.06,Drops Of Jupiter (Tell Me),51,51
2004.06,I Hope You Dance,48,48
2004.06,How You Remind Me,48,48
2004.07,Smooth,58,58
2004.07,Higher,57,57
2004.07,The Way You Love Me,53,53
2004.07,Kryptonite,53,53
2004.07,Amazed,53,53
2004.07,Hanging By A Moment,52,52
2004.07,Unwell,51,51
2004.07,Drops Of Jupiter (Tell Me),51,51
2004.07,Someday,46,46
2004.07,Here Without You,45,45
2004.08,Smooth,58,58
2004.08,Higher,57,57
2004.08,The Way You Love Me,53,53
2004.08,Kryptonite,53,53
2004.08,Amazed,53,53
2004.08,Hanging By A Moment,52,52
2004.08,Unwell,51,51
2004.08,Drops Of Jupiter (Tell Me),51,51
2004.08,Here Without You,50,50
2004.08,Someday,46,46
2004.09,Smooth,58,58
2004.09,Higher,57,57
2004.09,The Way You Love Me,53,53
2004.09,Kryptonite,53,53
2004.09,Amazed,53,53
2004.09,Hanging By A Moment,52,52
2004.09,Unwell,51,51
2004.09,Drops Of Jupiter (Tell Me),51,51
2004.09,Here Without You,50,50
2004.09,Someday,46,46
2004.1,Smooth,58,58
2004.1,Higher,57,57
2004.1,The Way You Love Me,53,53
2004.1,Kryptonite,53,53
2004.1,Amazed,53,53
2004.1,Hanging By A Moment,52,52
2004.1,Unwell,51,51
2004.1,Drops Of Jupiter (Tell Me),51,51
2004.1,Here Without You,50,50
2004.1,Someday,46,46
2004.11,Smooth,58,58
2004.11,Higher,57,57
2004.11,The Way You Love Me,53,53
2004.11,Kryptonite,53,53
2004.11,Amazed,53,53
2004.11,Hanging By A Moment,52,52
2004.11,Unwell,51,51
2004.11,Drops Of Jupiter (Tell Me),51,51
2004.11,Here Without You,50,50
2004.11,Someday,46,46
2004.12,Smooth,58,58
2004.12,Higher,57,57
2004.12,The Way You Love Me,53,53
2004.12,Kryptonite,53,53
2004.12,Amazed,53,53
2004.12,Hanging By A Moment,52,52
2004.12,Unwell,51,51
2004.12,Drops Of Jupiter (Tell Me),51,51
2004.12,Here Without You,50,50
2004.12,Someday,46,46
2005.01,Smooth,58,58
2005.01,Higher,57,57
2005.01,The Way You Love Me,53,53
2005.01,Kryptonite,53,53
2005.01,Amazed,53,53
2005.01,Hanging By A Moment,52,52
2005.01,Unwell,51,51
2005.01,Drops Of Jupiter (Tell Me),51,51
2005.01,Here Without You,50,50
2005.01,Someday,46,46
2005.02,Smooth,58,58
2005.02,Higher,57,57
2005.02,The Way You Love Me,53,53
2005.02,Kryptonite,53,53
2005.02,Amazed,53,53
2005.02,Hanging By A Moment,52,52
2005.02,Unwell,51,51
2005.02,Drops Of Jupiter (Tell Me),51,51
2005.02,Here Without You,50,50
2005.02,Someday,46,46
2005.03,Smooth,58,58
2005.03,Higher,57,57
2005.03,The Way You Love Me,53,53
2005.03,Kryptonite,53,53
2005.03,Amazed,53,53
2005.03,Hanging By A Moment,52,52
2005.03,Unwell,51,51
2005.03,Drops Of Jupiter (Tell Me),51,51
2005.03,Here Without You,50,50
2005.03,Someday,46,46
2005.04,Smooth,58,58
2005.04,Higher,57,57
2005.04,The Way You Love Me,53,53
2005.04,Kryptonite,53,53
2005.04,Amazed,53,53
2005.04,Hanging By A Moment,52,52
2005.04,Unwell,51,51
2005.04,Drops Of Jupiter (Tell Me),51,51
2005.04,Here Without You,50,50
2005.04,Someday,46,46
2005.05,Smooth,58,58
2005.05,Higher,57,57
2005.05,The Way You Love Me,53,53
2005.05,Kryptonite,53,53
2005.05,Amazed,53,53
2005.05,Hanging By A Moment,52,52
2005.05,Unwell,51,51
2005.05,Drops Of Jupiter (Tell Me),51,51
2005.05,Here Without You,50,50
